rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2023-04-28,XOM,BUY,0.0036,0.0026,1.0026
LLM (DeepSeek),2023-05-09,DUK,HOLD,-0.0119,-0.0,1.0026
LLM (DeepSeek),2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0026
LLM (DeepSeek),2023-08-08,DUK,SELL,0.0069,-0.0079,0.9946795
LLM (DeepSeek),2023-10-27,XOM,BUY,0.012,0.011,1.0056209
LLM (DeepSeek),2023-11-02,DUK,HOLD,-0.0004,-0.0,1.0056209
LLM (DeepSeek),2024-02-02,XOM,BUY,0.0133,0.0123,1.0179901
LLM (DeepSeek),2024-02-08,DUK,BUY,-0.008,-0.009,1.0088282
LLM (DeepSeek),2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.0088282
LLM (DeepSeek),2024-04-26,XOM,BUY,-0.0192,-0.0202,0.9884498
LLM (DeepSeek),2024-05-07,DUK,HOLD,0.0058,0.0,0.9884498
LLM (DeepSeek),2024-07-01,HEIA.AS,HOLD,0.0055,0.0,0.9884498
LLM (DeepSeek),2024-08-02,XOM,BUY,-0.0084,-0.0094,0.9791584
LLM (DeepSeek),2024-08-06,DUK,BUY,0.0133,0.0123,0.9912021
LLM (DeepSeek),2024-10-01,HEIA.AS,HOLD,0.0005,0.0,0.9912021
LLM (DeepSeek),2024-10-01,NSRGY,SELL,-0.0037,0.0027,0.9938783
LLM (DeepSeek),2024-11-01,XOM,BUY,0.027,0.026,1.0197191
LLM (DeepSeek),2024-11-07,DUK,SELL,-0.0087,0.0077,1.027571
LLM (DeepSeek),2025-01-31,XOM,BUY,0.0089,0.0079,1.0356888
LLM (DeepSeek),2025-02-01,RMSP.XC,HOLD,0.0,0.0,1.0356888
LLM (DeepSeek),2025-02-13,DUK,BUY,-0.0092,-0.0102,1.0251248
LLM (DeepSeek),2025-04-30,EBAY,HOLD,0.0277,0.0,1.0251248
LLM (DeepSeek),2025-05-02,XOM,HOLD,0.0183,0.0,1.0251248
LLM (DeepSeek),2025-05-06,DUK,HOLD,0.0104,0.0,1.0251248
LLM (DeepSeek),2025-07-01,RMSP.XC,HOLD,-0.0039,-0.0,1.0251248
LLM (DeepSeek),2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0251248
LLM (DeepSeek),2025-07-23,FCX,BUY,-0.0249,-0.0259,0.998574
LLM (DeepSeek),2025-07-24,INTC,SELL,-0.0862,0.0852,1.0836525
LLM (DeepSeek),2025-07-30,EBAY,HOLD,0.1372,0.0,1.0836525
LLM (DeepSeek),2025-07-31,MA,BUY,0.0169,0.0159,1.1008826
LLM (DeepSeek),2025-08-01,CVX,BUY,0.0059,0.0049,1.1062769
LLM (DeepSeek),2025-08-01,SHEL,HOLD,0.0047,0.0,1.1062769
LLM (DeepSeek),2025-08-01,XOM,HOLD,0.0032,0.0,1.1062769
LLM (DeepSeek),2025-08-05,DUK,BUY,0.0225,0.0215,1.1300619
LLM (DeepSeek),2025-08-07,DDOG,BUY,0.0788,0.0778,1.2179807
LLM (DeepSeek),2025-08-19,HD,HOLD,0.016,0.0,1.2179807
LLM (DeepSeek),2025-08-21,UNP,HOLD,-0.0009,-0.0,1.2179807
