run_id,document_id,issuer,company,ticker,fiscal_period,report_date,source_pdf,model,prompt,input_tokens,output_tokens,total_tokens,cached_input,estimated_cost_usd,latency_seconds,signal,signal_mismatch,sentiment_score,ensemble_runs,status
20260730T174454Z,PEP_FQ1_2023,p2_pepsico,PepsiCo,PEP,FQ1 2023,2023-04-25,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2023-Q1\PEP-8K-EX99.1-2023-Q1-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,19626,1890,21516,False,0.007327,14.37,BUY,False,0.5,,success
20260730T174454Z,PEP_FQ2_2023,p2_pepsico,PepsiCo,PEP,FQ2 2023,2023-07-13,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2023-Q2\PEP-8K-EX99.1-2023-Q2-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,23156,2091,25247,True,0.008501,15.98,BUY,False,0.5,,success
20260730T174454Z,PEP_FQ3_2023,p2_pepsico,PepsiCo,PEP,FQ3 2023,2023-10-10,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2023-Q3\PEP-8K-EX99.1-2023-Q3-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,22416,2080,24496,True,0.008289,16.66,BUY,False,0.5,,success
20260730T174454Z,PEP_FQ4_2023,p2_pepsico,PepsiCo,PEP,FQ4 2023,2024-02-09,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2023-Q4\PEP-8K-EX99.1-2023-Q4-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,27330,2214,29544,True,0.009763,17.89,SELL,False,-0.5,,success
20260730T174454Z,PEP_FQ1_2024,p2_pepsico,PepsiCo,PEP,FQ1 2024,2024-04-23,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2024-Q1\PEP-8K-EX99.1-2024-Q1-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,10572,1939,12511,True,0.004936,13.92,HOLD,False,0.0,,success
20260730T174454Z,PEP_FQ2_2024,p2_pepsico,PepsiCo,PEP,FQ2 2024,2024-07-11,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2024-Q2\PEP-8K-EX99.1-2024-Q2-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,24254,1580,25834,True,0.008235,12.65,SELL,False,-0.5,,success
20260730T174454Z,PEP_FQ3_2024,p2_pepsico,PepsiCo,PEP,FQ3 2024,2024-10-08,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2024-Q3\PEP-8K-EX99.1-2024-Q3-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,22596,1517,24113,True,0.007718,12.04,SELL,False,-0.5,,success
20260730T174454Z,PEP_FQ4_2024,p2_pepsico,PepsiCo,PEP,FQ4 2024,2025-02-04,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2024-Q4\PEP-8K-EX99.1-2024-Q4-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25187,2338,27525,True,0.009321,17.57,HOLD,False,-0.1,,success
20260730T174454Z,PEP_FQ1_2025,p2_pepsico,PepsiCo,PEP,FQ1 2025,2025-04-24,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2025-Q1\PEP-8K-EX99.1-2025-Q1-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,28618,1877,30495,True,0.00974,15.91,SELL,False,-0.5,,success
20260730T174454Z,PEP_FQ2_2025,p2_pepsico,PepsiCo,PEP,FQ2 2025,2025-07-17,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2025-Q2\PEP-8K-EX99.1-2025-Q2-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25782,2417,28199,True,0.009569,18.84,BUY,False,0.2,,success
20260730T174454Z,PEP_FQ3_2025,p2_pepsico,PepsiCo,PEP,FQ3 2025,2025-10-09,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2025-Q3\PEP-8K-EX99.1-2025-Q3-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,26931,2786,29717,True,0.010285,21.68,BUY,False,0.2,,success
20260730T174454Z,PEP_FQ4_2025,p2_pepsico,PepsiCo,PEP,FQ4 2025,2026-02-03,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2025-Q4\PEP-8K-EX99.1-2025-Q4-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,26729,2662,29391,True,0.010094,19.67,HOLD,True,0.15,,success
20260730T174454Z,PEP_FQ1_2026,p2_pepsico,PepsiCo,PEP,FQ1 2026,2026-04-16,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2026-Q1\PEP-8K-EX99.1-2026-Q1-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,20885,1964,22849,True,0.007748,14.9,HOLD,True,0.15,,success
20260730T174454Z,PEP_FQ2_2026,p2_pepsico,PepsiCo,PEP,FQ2 2026,2026-07-09,C:\Users\bencr\Documents\Citibank APR\docs\pepsico\CY2026-Q2\PEP-8K-EX99.1-2026-Q2-PressRelease.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25905,2251,28156,True,0.009419,16.2,HOLD,True,-0.15,,success
